Price_per_m²,Online_since_in_h,WG_Size,Total_People,Size,Warm_Rent_in_€,Cold_Rent_in_€,Deposit_in_€,Roomsize in m²,Appartmentsize in m²,Intermediate Rent,left_rhine_side,Weighted_Average_Sentiment,Min_Age,Max_Age,Construction_Year,Parking,Floor,Smoking,Garden_Balcony,Dist_center_in_km,Title_Length,Description_Length,Fact_Count,Population_per_km²
37.25,3,4,3,12m²,447.0,447,300,12,106,True,1.0,0.6957885345175616,24.0,99.0,,schlechte Parkmöglichkeiten,2,Rauchen überall erlaubt,Terrasse,3.2,44,2480.0,43,11677.08
45.0,3,3,2,10m²,450.0,398,950,10,85,True,1.0,0.8678900073206441,23.0,29.0,,schlechte Parkmöglichkeiten,2,Rauchen teilweise erlaubt,Balkon,1.5,26,2930.0,44,9168.01
34.23076923076923,3,7,5,26m²,890.0,890,2670,26,,False,1.0,0.6594139713971398,20.0,25.0,,,0,Rauchen teilweise erlaubt,Terrasse,3.4,50,1891.0,35,6467.99
35.55555555555556,3,2,1,18m²,640.0,550,600,18,,False,1.0,0.79136006006006,22.0,22.0,,gute Parkmöglichkeiten,höher als 5,Rauchen nicht erwünscht,Balkon,7.8,51,1405.0,36,2567.96
30.0,4,2,0,15m²,450.0,450,,15,,True,1.0,0.9805,,,,Tiefgaragenstellplatz,,,,4.2,13,1450.0,15,3283.34
23.96,4,4,3,25m²,599.0,599,650,25,86,False,0.0,0.606962915851272,1.0,99.0,,gute Parkmöglichkeiten,1,Rauchen nicht erwünscht,,8.9,47,1107.0,43,4775.23
53.888888888888886,4,3,2,9m²,485.0,395,1185,9,90,False,1.0,0.9748474229346485,20.0,27.0,,gute Parkmöglichkeiten,3,Rauchen teilweise erlaubt,Gartenmitbenutzung,4.3,42,4301.0,46,3763.93
36.25,4,2,1,12m²,435.0,435,50,12,60,True,0.0,0.6816598627787307,,,1960.0,gute Parkmöglichkeiten,3,Rauchen nicht erwünscht,Gartenmitbenutzung,3.8,41,1838.0,44,8035.49
21.266666666666666,4,2,1,15m²,319.0,319,300,15,25,False,,0.9296,,,,,2,Rauchen teilweise erlaubt,,7.4,67,976.0,25,
38.611111111111114,4,3,0,18m²,695.0,585,,18,72,False,1.0,0.8459364843121482,19.0,27.0,,gute Parkmöglichkeiten,1,,,2.7,81,2598.0,37,2089.18
25.0,1,8,7,10m²,250.0,250,500,10,,False,1.0,0.9634016345592528,18.0,30.0,,Bewohnerparken,1,Rauchen teilweise erlaubt,Terrasse,3.9,50,3805.0,42,6467.99
34.11764705882353,4,3,2,17m²,580.0,480,1300,17,105,False,1.0,0.9919000000000001,22.0,29.0,,,1,Rauchen teilweise erlaubt,Balkon,4.2,52,1451.0,35,2454.12
27.0,1,6,5,14m²,378.0,323,700,14,140,False,1.0,0.8066375734676742,25.0,30.0,,gute Parkmöglichkeiten,2,,,3.7,25,2554.0,30,5048.95
34.61538461538461,4,2,1,13m²,450.0,450,450,13,,True,1.0,0.8202647058823529,,,,Bewohnerparken,2,Rauchen nicht erwünscht,Balkon,2.8,121,751.0,29,11677.08
34.61538461538461,4,2,1,13m²,450.0,450,450,13,,True,1.0,0.8206548340548341,,,,Bewohnerparken,2,Rauchen nicht erwünscht,Balkon,2.8,121,752.0,29,11677.08
15.909090909090908,5,5,3,22m²,350.0,350,700,22,,False,1.0,0.8201634474327628,18.0,25.0,,Bewohnerparken,,,Terrasse,4.0,54,2684.0,38,6176.72
36.111111111111114,5,3,2,18m²,650.0,602,300,18,74,True,1.0,0.9029209766925639,22.0,30.0,,,2,Rauchen nicht erwünscht,,0.8,50,1956.0,37,7394.59
20.833333333333332,5,2,1,24m²,500.0,450,1500,24,70,False,0.0,0.4877725490196078,18.0,27.0,,gute Parkmöglichkeiten,3,Rauchen teilweise erlaubt,Gartenmitbenutzung,5.3,38,1216.0,40,7191.28
33.333333333333336,5,4,3,12m²,400.0,400,,12,,True,1.0,0.6939153234960271,21.0,23.0,,,,,,3.9,42,845.0,18,2454.12
39.72222222222222,6,2,1,18m²,715.0,715,500,18,67,True,1.0,0.9095045505617977,22.0,23.0,,schlechte Parkmöglichkeiten,3,,,2.7,32,1948.0,36,12311.83
37.5,6,3,2,16m²,600.0,450,1000,16,85,True,1.0,0.3365163760424564,22.0,28.0,,Bewohnerparken,1,Rauchen nicht erwünscht,,4.0,62,1355.0,43,6467.99
41.666666666666664,6,7,6,18m²,750.0,750,2250,18,,False,1.0,0.7045639192598823,20.0,25.0,,Bewohnerparken,0,Rauchen teilweise erlaubt,,3.4,43,2579.0,33,6467.99
30.2,6,3,2,10m²,302.0,302,560,10,,False,0.0,0.8927076704545456,20.0,30.0,,,Dachgeschoss,Rauchen nicht erwünscht,,5.3,51,3112.0,39,7191.28
22.3,6,4,3,20m²,446.0,360,950,20,,False,1.0,0.9690928733545165,25.0,30.0,,,3,Rauchen nicht erwünscht,,4.8,41,2164.0,31,6108.19
22.727272727272727,6,2,1,22m²,500.0,500,0,22,70,True,0.0,0.7109839750849377,23.0,40.0,,,3,Rauchen teilweise erlaubt,Balkon,2.8,27,1886.0,41,2806.27
25.0,7,2,1,20m²,500.0,400,,20,65,True,0.0,0.8218697463768116,29.0,29.0,,,3,,,1.9,62,559.0,25,2806.27
24.736842105263158,7,4,3,19m²,470.0,350,500,19,,False,0.0,0.5003576862949453,21.0,27.0,,,3,Rauchen teilweise erlaubt,Balkon,3.2,43,2190.0,43,5130.1
39.285714285714285,7,2,0,14m²,550.0,400,1000,14,45,True,1.0,0.0,,,,gute Parkmöglichkeiten,4,,Balkon,4.6,36,214.0,38,2089.18
